key, year, value
North America, 2004,408856070
North America, 2005,427662710
North America, 2006,401040785
North America, 2007,432051483
North America, 2008,342566123
North America, 2009,276990009
North America, 2010,352265421
North America, 2011,271462697
North America, 2012,173496781
North America, 2013,87702197
North America, 2014,27093960
South America, 2004,102778610
South America, 2005,50575726
South America, 2006,68081235
South America, 2007,73848033
South America, 2008,61582276
South America, 2009,78963074
South America, 2010,77012515
South America, 2011,79579804
South America, 2012,86831358
South America, 2013,93389441
South America, 2014,90663535
Central America, 2004,0
Central America, 2005,0
Central America, 2006,0
Central America, 2007,0
Central America, 2008,2190566
Central America, 2009,300828
Central America, 2010,0
Central America, 2011,0
Central America, 2012,0
Central America, 2013,0
Central America, 2014,0
Europe, 2004, 114977451
Europe, 2005, 148046980
Europe, 2006, 162917829
Europe, 2007, 120741036
Europe, 2008, 172126638
Europe, 2009, 163627724
Europe, 2010, 172875067
Europe, 2011, 246626085
Europe, 2012, 333895453
Europe, 2013, 326477293
Europe, 2014, 354544934
Oceania/Pacific, 2004, 0
Oceania/Pacific, 2005, 0
Oceania/Pacific, 2006, 0
Oceania/Pacific, 2007, 0
Oceania/Pacific, 2008, 0
Oceania/Pacific, 2009, 0
Oceania/Pacific, 2010, 9453755
Oceania/Pacific, 2011, 18092657
Oceania/Pacific, 2012, 20915856
Oceania/Pacific, 2013, 16964284
Oceania/Pacific, 2014, 10389676
Asia & Far East, 2004, 176284313
Asia & Far East, 2005, 147967459
Asia & Far East, 2006, 116166923
Asia & Far East, 2007, 99067734
Asia & Far East, 2008, 77096968
Asia & Far East, 2009, 111371037
Asia & Far East, 2010, 147376118
Asia & Far East, 2011, 136032999
Asia & Far East, 2012, 140121668
Asia & Far East, 2013, 152977481
Asia & Far East, 2014, 193267153
Africa, 2004, 68390150
Africa, 2005, 69280456
Africa, 2006, 69181185
Africa, 2007, 68061569
Africa, 2008, 68917225
Africa, 2009, 137942533
Africa, 2010, 105719225
Africa, 2011, 70287982
Africa, 2012, 75510932
Africa, 2013, 84696505
Africa, 2014, 97873868